t_s,R_m,U_m_s,T_g_K,p_g_pa,p_inf_pa,delta_T_m,Q_out_W
0,6e-06,0,293.15,125325,101325,6e-06,0
1e-09,6e-06,2.79345e-05,293.15,125325,101288,6e-06,-2.57636e-12
6e-09,6e-06,0.000259498,293.15,125325,101105,6e-06,-1.27292e-10
1.6e-08,6.00001e-06,0.00118122,293.149,125324,100737,6.00001e-06,-1.38969e-09
2.6e-08,6.00003e-06,0.00271208,293.147,125322,100370,6.00003e-06,-4.92499e-09
3.6e-08,6.00006e-06,0.00484836,293.144,125318,100003,6.00006e-06,-1.18023e-08
4.6e-08,6.00013e-06,0.00758536,293.138,125312,99635.5,6.00013e-06,-2.30471e-08
5.6e-08,6.00022e-06,0.0109174,293.13,125303,99268.3,6.00022e-06,-3.96409e-08
6.6e-08,6.00035e-06,0.0148378,293.118,125290,98901.3,6.00035e-06,-6.25209e-08
7.6e-08,6.00052e-06,0.0193389,293.103,125272,98534.3,6.00052e-06,-9.25793e-08
8.6e-08,6.00073e-06,0.0244121,293.083,125250,98167.4,6.00073e-06,-1.30663e-07
9.6e-08,6.00101e-06,0.030048,293.059,125223,97800.7,6.00101e-06,-1.77574e-07
1.06e-07,6.00134e-06,0.0362362,293.031,125190,97434.1,6.00134e-06,-2.34067e-07
1.16e-07,6.00173e-06,0.0429654,292.997,125151,97067.7,6.00173e-06,-3.00853e-07
1.26e-07,6.0022e-06,0.0502236,292.957,125105,96701.4,6.0022e-06,-3.78593e-07
1.36e-07,6.00274e-06,0.0579978,292.911,125052,96335.3,6.00274e-06,-4.67907e-07
1.46e-07,6.00336e-06,0.0662745,292.86,124991,95969.4,6.00336e-06,-5.69363e-07
1.56e-07,6.00407e-06,0.0750392,292.802,124922,95603.7,6.00407e-06,-6.83486e-07
1.66e-07,6.00486e-06,0.0842768,292.737,124844,95238.3,6.00486e-06,-8.10754e-07
1.76e-07,6.00575e-06,0.0939715,292.665,124758,94873,6.00575e-06,-9.51598e-07
1.86e-07,6.00674e-06,0.104107,292.586,124663,94508.1,6.00674e-06,-1.1064e-06
1.96e-07,6.00784e-06,0.114666,292.5,124558,94143.4,6.00784e-06,-1.27551e-06
2.06e-07,6.00904e-06,0.125631,292.407,124444,93779,6.00904e-06,-1.45921e-06
2.16e-07,6.01035e-06,0.136985,292.306,124319,93414.9,6.01035e-06,-1.65776e-06
2.26e-07,6.01178e-06,0.148708,292.197,124184,93051.1,6.01178e-06,-1.87135e-06
2.36e-07,6.01333e-06,0.160782,292.081,124039,92687.6,6.01333e-06,-2.10016e-06
2.46e-07,6.015e-06,0.173187,291.957,123883,92324.5,6.015e-06,-2.34428e-06
2.56e-07,6.01679e-06,0.185904,291.825,123717,91961.7,6.01679e-06,-2.60381e-06
2.66e-07,6.01871e-06,0.198913,291.686,123539,91599.3,6.01871e-06,-2.87877e-06
2.76e-07,6.02077e-06,0.212194,291.539,123350,91237.3,6.02077e-06,-3.16915e-06
2.86e-07,6.02296e-06,0.225726,291.384,123150,90875.6,6.02296e-06,-3.47491e-06
2.96e-07,6.02529e-06,0.23949,291.222,122939,90514.4,6.02529e-06,-3.79595e-06
3.06e-07,6.02775e-06,0.253464,291.052,122716,90153.6,6.02775e-06,-4.13215e-06
3.16e-07,6.03035e-06,0.267628,290.875,122483,89793.3,6.03035e-06,-4.48335e-06
3.26e-07,6.0331e-06,0.281963,290.69,122238,89433.4,6.0331e-06,-4.84935e-06
3.36e-07,6.03599e-06,0.296447,290.498,121981,89074,6.03599e-06,-5.22991e-06
3.46e-07,6.03903e-06,0.311059,290.299,121714,88715,6.03903e-06,-5.62476e-06
3.56e-07,6.04222e-06,0.325781,290.094,121436,88356.6,6.04222e-06,-6.03362e-06
3.66e-07,6.04555e-06,0.340592,289.881,121146,87998.7,6.04555e-06,-6.45615e-06
3.76e-07,6.04903e-06,0.355473,289.663,120846,87641.3,6.04903e-06,-6.89199e-06
3.86e-07,6.05266e-06,0.370403,289.438,120535,87284.4,6.05266e-06,-7.34075e-06
3.96e-07,6.05644e-06,0.385364,289.207,120213,86928.1,6.05644e-06,-7.80204e-06
4.06e-07,6.06036e-06,0.400338,288.971,119881,86572.4,6.06036e-06,-8.27541e-06
4.16e-07,6.06444e-06,0.415305,288.729,119539,86217.2,6.06444e-06,-8.76041e-06
4.26e-07,6.06867e-06,0.430249,288.482,119187,85862.7,6.06867e-06,-9.25656e-06
4.36e-07,6.07305e-06,0.445152,288.23,118826,85508.7,6.07305e-06,-9.76335e-06
4.46e-07,6.07757e-06,0.459996,287.973,118455,85155.4,6.07757e-06,-1.02803e-05
4.56e-07,6.08225e-06,0.474766,287.712,118075,84802.7,6.08225e-06,-1.08068e-05
4.66e-07,6.08707e-06,0.489445,287.447,117686,84450.7,6.08707e-06,-1.13424e-05
4.76e-07,6.09204e-06,0.504019,287.178,117288,84099.3,6.09204e-06,-1.18865e-05
4.86e-07,6.09715e-06,0.518473,286.906,116882,83748.6,6.09715e-06,-1.24386e-05
4.96e-07,6.10241e-06,0.532792,286.631,116469,83398.6,6.10241e-06,-1.2998e-05
5.06e-07,6.1078e-06,0.546963,286.353,116047,83049.3,6.1078e-06,-1.35642e-05
5.16e-07,6.11334e-06,0.560974,286.072,115619,82700.8,6.11334e-06,-1.41365e-05
5.26e-07,6.11902e-06,0.574812,285.79,115183,82352.9,6.11902e-06,-1.47145e-05
5.36e-07,6.12484e-06,0.588465,285.506,114741,82005.9,6.12484e-06,-1.52974e-05
5.46e-07,6.13079e-06,0.601923,285.22,114292,81659.5,6.13079e-06,-1.58848e-05
5.56e-07,6.13688e-06,0.615176,284.933,113838,81314,6.13688e-06,-1.64759e-05
5.66e-07,6.14309e-06,0.628213,284.645,113377,80969.2,6.14309e-06,-1.70702e-05
5.76e-07,6.14944e-06,0.641027,284.357,112912,80625.3,6.14944e-06,-1.76672e-05
5.86e-07,6.15591e-06,0.653608,284.068,112442,80282.2,6.15591e-06,-1.82661e-05
5.96e-07,6.16251e-06,0.665949,283.78,111967,79939.9,6.16251e-06,-1.88664e-05
6.06e-07,6.16923e-06,0.678044,283.492,111488,79598.4,6.16923e-06,-1.94676e-05
