t_s,R_m,U_m_s,T_g_K,p_g_pa,p_inf_pa,delta_T_m,Q_out_W
0,6e-06,0,293.15,125325,101325,6e-06,0
1e-09,6e-06,-9.75369e-06,293.15,125325,101338,6e-06,8.99568e-13
6e-09,6e-06,-9.0607e-05,293.15,125325,101402,6e-06,4.44457e-11
1.6e-08,6e-06,-0.00041244,293.15,125325,101530,6e-06,4.85228e-10
2.6e-08,5.99999e-06,-0.000946961,293.151,125326,101658,5.99999e-06,1.71963e-09
3.6e-08,5.99998e-06,-0.00169289,293.152,125327,101787,5.99998e-06,4.12097e-09
4.6e-08,5.99996e-06,-0.0026486,293.154,125329,101915,5.99996e-06,8.0474e-09
5.6e-08,5.99992e-06,-0.00381214,293.157,125333,102043,5.99992e-06,1.38418e-08
6.6e-08,5.99988e-06,-0.00518123,293.161,125337,102171,5.99988e-06,2.18318e-08
7.6e-08,5.99982e-06,-0.00675327,293.166,125343,102299,5.99982e-06,3.23293e-08
8.6e-08,5.99974e-06,-0.00852537,293.173,125351,102428,5.99974e-06,4.56309e-08
9.6e-08,5.99965e-06,-0.0104943,293.182,125361,102556,5.99965e-06,6.20177e-08
1.06e-07,5.99953e-06,-0.0126566,293.192,125372,102684,5.99953e-06,8.17549e-08
1.16e-07,5.99939e-06,-0.0150085,293.204,125386,102812,5.99939e-06,1.05092e-07
1.26e-07,5.99923e-06,-0.017546,293.217,125402,102939,5.99923e-06,1.32264e-07
1.36e-07,5.99904e-06,-0.0202648,293.233,125421,103067,5.99904e-06,1.6349e-07
1.46e-07,5.99883e-06,-0.0231603,293.252,125442,103195,5.99883e-06,1.98972e-07
1.56e-07,5.99858e-06,-0.0262279,293.272,125466,103323,5.99858e-06,2.38898e-07
1.66e-07,5.9983e-06,-0.0294624,293.295,125493,103450,5.9983e-06,2.8344e-07
1.76e-07,5.99799e-06,-0.0328587,293.32,125524,103578,5.99799e-06,3.32758e-07
1.86e-07,5.99764e-06,-0.0364113,293.347,125557,103705,5.99764e-06,3.86991e-07
1.96e-07,5.99726e-06,-0.0401147,293.378,125594,103833,5.99726e-06,4.46268e-07
2.06e-07,5.99684e-06,-0.043963,293.411,125635,103960,5.99684e-06,5.10702e-07
2.16e-07,5.99638e-06,-0.0479504,293.446,125679,104087,5.99638e-06,5.8039e-07
2.26e-07,5.99588e-06,-0.0520705,293.485,125727,104214,5.99588e-06,6.55415e-07
2.36e-07,5.99534e-06,-0.0563172,293.526,125779,104341,5.99534e-06,7.35847e-07
2.46e-07,5.99475e-06,-0.0606839,293.57,125834,104468,5.99475e-06,8.21741e-07
2.56e-07,5.99413e-06,-0.0651642,293.616,125894,104594,5.99413e-06,9.13139e-07
2.66e-07,5.99345e-06,-0.0697513,293.666,125958,104721,5.99345e-06,1.01007e-06
2.76e-07,5.99273e-06,-0.0744384,293.718,126026,104847,5.99273e-06,1.11254e-06
2.86e-07,5.99196e-06,-0.0792186,293.773,126098,104974,5.99196e-06,1.22056e-06
2.96e-07,5.99115e-06,-0.0840848,293.832,126174,105100,5.99115e-06,1.33412e-06
3.06e-07,5.99028e-06,-0.08903,293.892,126255,105226,5.99028e-06,1.45319e-06
3.16e-07,5.98936e-06,-0.0940469,293.956,126341,105351,5.98936e-06,1.57773e-06
3.26e-07,5.9884e-06,-0.0991284,294.023,126431,105477,5.9884e-06,1.7077e-06
3.36e-07,5.98738e-06,-0.104267,294.092,126525,105603,5.98738e-06,1.84304e-06
3.46e-07,5.98631e-06,-0.109456,294.164,126624,105728,5.98631e-06,1.98366e-06
3.56e-07,5.98519e-06,-0.114687,294.239,126727,105853,5.98519e-06,2.12951e-06
3.66e-07,5.98402e-06,-0.119953,294.316,126835,105978,5.98402e-06,2.28046e-06
3.76e-07,5.98279e-06,-0.125247,294.396,126948,106103,5.98279e-06,2.43643e-06
3.86e-07,5.98151e-06,-0.13056,294.479,127065,106227,5.98151e-06,2.5973e-06
3.96e-07,5.98018e-06,-0.135887,294.564,127186,106352,5.98018e-06,2.76295e-06
4.06e-07,5.9788e-06,-0.141219,294.652,127313,106476,5.9788e-06,2.93323e-06
4.16e-07,5.97736e-06,-0.146548,294.741,127444,106600,5.97736e-06,3.10801e-06
4.26e-07,5.97587e-06,-0.151868,294.834,127579,106724,5.97587e-06,3.28714e-06
4.36e-07,5.97432e-06,-0.157171,294.928,127719,106847,5.97432e-06,3.47044e-06
4.46e-07,5.97272e-06,-0.16245,295.024,127863,106971,5.97272e-06,3.65777e-06
4.56e-07,5.97107e-06,-0.167697,295.123,128012,107094,5.97107e-06,3.84893e-06
