vessel,frequency_khz,frequency_hz,status,pb_abs_pa,pb_phase_rad,min_radius_m,max_temperature_k,temperature_at_collapse_k,compression_ratio,potential_luminescence,case_dir
cylinder,50,50000.0,0,46107,1.5708,5.3762e-06,301.009,293.845,1.11603,false,results/vessel_frequency_sweep_py/cylinder/050_khz
cylinder,60,60000.0,0,6150.28,1.5708,5.89821e-06,294.373,293.243,1.01726,false,results/vessel_frequency_sweep_py/cylinder/060_khz
cylinder,70,70000.0,0,3665.96,-1.5708,5.93845e-06,293.819,293.222,1.01036,false,results/vessel_frequency_sweep_py/cylinder/070_khz
cylinder,80,80000.0,0,9389.14,1.5708,5.84586e-06,295.607,293.599,1.02637,false,results/vessel_frequency_sweep_py/cylinder/080_khz
cylinder,90,90000.0,0,2352.63,1.5708,5.95927e-06,293.831,293.261,1.00684,false,results/vessel_frequency_sweep_py/cylinder/090_khz
cylinder,100,100000.0,0,20383.2,1.5708,5.68022e-06,299.78,294.522,1.0563,false,results/vessel_frequency_sweep_py/cylinder/100_khz
cylinder,110,110000.0,0,364.506,-1.5708,5.99368e-06,293.254,293.167,1.00105,false,results/vessel_frequency_sweep_py/cylinder/110_khz
cylinder,120,120000.0,0,3099.4,-1.5708,5.94717e-06,294.102,293.324,1.00888,false,results/vessel_frequency_sweep_py/cylinder/120_khz
cylinder,130,130000.0,0,3356.57,1.5708,5.94368e-06,294.487,293.569,1.00948,false,results/vessel_frequency_sweep_py/cylinder/130_khz
cylinder,140,140000.0,0,5173.2,-1.5708,5.91196e-06,295.176,293.553,1.01489,false,results/vessel_frequency_sweep_py/cylinder/140_khz
cylinder,150,150000.0,0,9769.48,1.5708,5.83445e-06,297.572,295.136,1.02837,false,results/vessel_frequency_sweep_py/cylinder/150_khz
cylinder,160,160000.0,0,12187.1,-1.5708,5.80338e-06,298.172,294.323,1.03388,false,results/vessel_frequency_sweep_py/cylinder/160_khz
cylinder,170,170000.0,0,53550.7,1.5708,5.29487e-06,321.871,313.849,1.13317,false,results/vessel_frequency_sweep_py/cylinder/170_khz
cylinder,180,180000.0,0,16673.2,1.5708,5.71118e-06,301.947,298.139,1.05057,false,results/vessel_frequency_sweep_py/cylinder/180_khz
cylinder,190,190000.0,0,695.689,1.5708,5.98595e-06,293.516,293.332,1.00235,false,results/vessel_frequency_sweep_py/cylinder/190_khz
cylinder,200,200000.0,0,4.4859,-1.5708,5.99992e-06,293.152,293.151,1.00001,false,results/vessel_frequency_sweep_py/cylinder/200_khz
conical,50,50000.0,0,6505.05,-1.5708,5.89294e-06,293.99,293.216,1.01817,false,results/vessel_frequency_sweep_py/conical/050_khz
conical,60,60000.0,0,5794.54,1.5708,5.90391e-06,294.301,293.236,1.01627,false,results/vessel_frequency_sweep_py/conical/060_khz
conical,70,70000.0,2,188300,-1.5708,4.01897e-06,3138.36,,1.49292,false,results/vessel_frequency_sweep_py/conical/070_khz
conical,80,80000.0,0,981.048,-1.5708,5.98321e-06,293.352,293.175,1.00281,false,results/vessel_frequency_sweep_py/conical/080_khz
conical,90,90000.0,0,2353.98,-1.5708,5.96e-06,293.705,293.224,1.00671,false,results/vessel_frequency_sweep_py/conical/090_khz
conical,100,100000.0,0,6065.62,-1.5708,5.89891e-06,294.752,293.401,1.01714,false,results/vessel_frequency_sweep_py/conical/100_khz
conical,110,110000.0,0,22473,1.5708,5.65239e-06,301.135,294.639,1.0615,false,results/vessel_frequency_sweep_py/conical/110_khz
conical,120,120000.0,0,35053,1.5708,5.56106e-06,306.811,299.571,1.07893,false,results/vessel_frequency_sweep_py/conical/120_khz
conical,130,130000.0,0,28823.8,-1.5708,5.58342e-06,303.722,294.745,1.07461,false,results/vessel_frequency_sweep_py/conical/130_khz
conical,140,140000.0,0,8909.93,-1.5708,5.85244e-06,296.641,293.831,1.02521,false,results/vessel_frequency_sweep_py/conical/140_khz
conical,150,150000.0,0,462.429,1.5708,5.99149e-06,293.355,293.231,1.00142,false,results/vessel_frequency_sweep_py/conical/150_khz
conical,160,160000.0,0,75918,1.5708,5.13652e-06,332.721,323.884,1.16811,false,results/vessel_frequency_sweep_py/conical/160_khz
conical,170,170000.0,0,20764.6,1.5708,5.65967e-06,303.737,299.167,1.06013,false,results/vessel_frequency_sweep_py/conical/170_khz
conical,180,180000.0,0,67651.8,1.5708,5.15611e-06,331.75,323.3,1.16367,false,results/vessel_frequency_sweep_py/conical/180_khz
conical,190,190000.0,0,38418.9,-1.5708,5.50059e-06,342.086,327.823,1.09079,false,results/vessel_frequency_sweep_py/conical/190_khz
conical,200,200000.0,0,1541.41,-1.5708,5.97148e-06,293.884,293.421,1.00478,false,results/vessel_frequency_sweep_py/conical/200_khz
barrel,50,50000.0,0,5792.16,-1.5708,5.90428e-06,293.898,293.208,1.01621,false,results/vessel_frequency_sweep_py/barrel/050_khz
barrel,60,60000.0,0,3324.73,1.5708,5.94412e-06,293.809,293.195,1.0094,false,results/vessel_frequency_sweep_py/barrel/060_khz
barrel,70,70000.0,0,5333.5,1.5708,5.91196e-06,294.377,293.277,1.01489,false,results/vessel_frequency_sweep_py/barrel/070_khz
barrel,80,80000.0,0,1685.79,1.5708,5.97088e-06,293.588,293.223,1.00488,false,results/vessel_frequency_sweep_py/barrel/080_khz
barrel,90,90000.0,0,16972.3,-1.5708,5.73606e-06,297.203,293.693,1.04601,false,results/vessel_frequency_sweep_py/barrel/090_khz
barrel,100,100000.0,0,662.286,-1.5708,5.98856e-06,293.326,293.177,1.00191,false,results/vessel_frequency_sweep_py/barrel/100_khz
barrel,110,110000.0,0,41312.4,1.5708,5.52528e-06,308.133,299.585,1.08592,false,results/vessel_frequency_sweep_py/barrel/110_khz
barrel,120,120000.0,0,77370,1.5708,5.23672e-06,324.427,314.992,1.14575,false,results/vessel_frequency_sweep_py/barrel/120_khz
barrel,130,130000.0,0,18459.2,1.5708,5.72805e-06,300.696,296.251,1.04748,false,results/vessel_frequency_sweep_py/barrel/130_khz
barrel,140,140000.0,0,8282.79,1.5708,5.86232e-06,296.688,294.565,1.02349,false,results/vessel_frequency_sweep_py/barrel/140_khz
barrel,150,150000.0,0,6198.38,-1.5708,5.89592e-06,295.741,293.629,1.01765,false,results/vessel_frequency_sweep_py/barrel/150_khz
barrel,160,160000.0,0,10689.1,1.5708,5.81499e-06,298.247,295.626,1.03182,false,results/vessel_frequency_sweep_py/barrel/160_khz
barrel,170,170000.0,0,2814.91,-1.5708,5.95087e-06,294.43,293.48,1.00826,false,results/vessel_frequency_sweep_py/barrel/170_khz
barrel,180,180000.0,0,1124.77,-1.5708,5.97967e-06,293.675,293.314,1.0034,false,results/vessel_frequency_sweep_py/barrel/180_khz
barrel,190,190000.0,0,25876.1,1.5708,5.57283e-06,307.632,302.326,1.07665,false,results/vessel_frequency_sweep_py/barrel/190_khz
barrel,200,200000.0,0,1892.44,1.5708,5.96152e-06,294.183,293.688,1.00646,false,results/vessel_frequency_sweep_py/barrel/200_khz
hourglass,50,50000.0,0,9007.75,-1.5708,5.85386e-06,294.314,293.241,1.02496,false,results/vessel_frequency_sweep_py/hourglass/050_khz
hourglass,60,60000.0,0,9525.71,1.5708,5.8452e-06,295.048,293.31,1.02648,false,results/vessel_frequency_sweep_py/hourglass/060_khz
hourglass,70,70000.0,0,26309.2,-1.5708,5.61083e-06,297.954,293.673,1.06936,false,results/vessel_frequency_sweep_py/hourglass/070_khz
hourglass,80,80000.0,0,6221.45,1.5708,5.89573e-06,294.773,293.436,1.01769,false,results/vessel_frequency_sweep_py/hourglass/080_khz
hourglass,90,90000.0,0,4177.03,1.5708,5.92845e-06,294.361,293.355,1.01207,false,results/vessel_frequency_sweep_py/hourglass/090_khz
hourglass,100,100000.0,0,7886.76,-1.5708,5.87007e-06,295.225,293.477,1.02214,false,results/vessel_frequency_sweep_py/hourglass/100_khz
hourglass,110,110000.0,0,73091.1,1.5708,5.29589e-06,320.338,310.776,1.13295,false,results/vessel_frequency_sweep_py/hourglass/110_khz
hourglass,120,120000.0,0,6819.9,-1.5708,5.88664e-06,295.307,293.539,1.01926,false,results/vessel_frequency_sweep_py/hourglass/120_khz
hourglass,130,130000.0,0,25786.5,1.5708,5.64094e-06,303.804,298.089,1.06365,false,results/vessel_frequency_sweep_py/hourglass/130_khz
hourglass,140,140000.0,0,20699.7,-1.5708,5.68384e-06,300.727,294.693,1.05563,false,results/vessel_frequency_sweep_py/hourglass/140_khz
hourglass,150,150000.0,0,17794,1.5708,5.71774e-06,301.328,297.215,1.04937,false,results/vessel_frequency_sweep_py/hourglass/150_khz
hourglass,160,160000.0,0,8286.68,-1.5708,5.863e-06,296.698,293.905,1.02337,false,results/vessel_frequency_sweep_py/hourglass/160_khz
hourglass,170,170000.0,0,140996,1.5708,4.74084e-06,373.032,364.937,1.2656,false,results/vessel_frequency_sweep_py/hourglass/170_khz
hourglass,180,180000.0,0,387.696,-1.5708,5.99295e-06,293.332,293.206,1.00118,false,results/vessel_frequency_sweep_py/hourglass/180_khz
hourglass,190,190000.0,0,2622.18,-1.5708,5.95243e-06,294.358,293.581,1.00799,false,results/vessel_frequency_sweep_py/hourglass/190_khz
hourglass,200,200000.0,0,197.689,1.5708,5.99592e-06,293.257,293.205,1.00068,false,results/vessel_frequency_sweep_py/hourglass/200_khz
