node_index,r_m,z_m,pressure_re_pa,pressure_im_pa,pressure_abs_pa,pressure_phase_rad,grad_p_abs_pa_per_m,velocity_abs_m_s,gorkov_potential_j,gorkov_force_r_n,gorkov_force_z_n,gorkov_force_abs_n,candidate_marker,candidate_score
0,0.0039840289327941446,0.022028414463527369,0,-33774.507637224167,33774.507637224167,-1.5707963267948966,24542405.718891766,0.039138729313912088,1.1554370767061389e-15,1.2588299086233682e-13,-1.8396482347437382e-13,2.2291160504649527e-13,0,0
1,0.0043311250739855242,0.022743366503065261,0,-32817.98417387552,32817.98417387552,-1.5707963267948966,25414757.353544854,0.040529902407793188,1.2239050933788509e-15,2.0000859758336031e-13,-1.5606248915269113e-13,2.5369063764316648e-13,0,0
2,0.0035609512926687049,0.022953836587861331,0,-53084.13204733876,53084.13204733876,-1.5707963267948966,25034482.892811421,0.039923463929262826,1.371000408614845e-15,1.1728215163781952e-13,-1.7420938238690504e-13,2.1000955217423656e-13,0,0
3,0.016972159804742169,0.018440384339932191,0,-33089.573762608074,33089.573762608074,-1.5707963267948966,6764818.9309896193,0.010788119959805904,1.9211305215360353e-16,-4.9395798524162613e-14,3.089851354741189e-14,5.8263737017799174e-14,0,0
4,0.01634159498195166,0.019270845877384511,0,-30245.891424066362,30245.891424066362,-1.5707963267948966,4966065.5073672272,0.0079195778879324191,1.371343132412947e-16,-2.255513332521792e-14,3.7469971430685789e-14,4.3734800769350318e-14,0,0
5,0.016099868732948219,0.018511718449544239,0,-33898.246127192731,33898.246127192731,-1.5707963267948966,4974485.6739020562,0.0079330058551235535,1.6151990761301816e-16,2.090286657034987e-16,3.2930729630524726e-14,3.2931393031297734e-14,0,0
6,0.01140112786389751,0.013289559147790351,0,17956.215343670665,17956.215343670665,1.5707963267948966,11140846.024514269,0.017766740631534442,2.4713389895562737e-16,-9.3011756014010434e-14,-4.6778044394803977e-14,1.0411230568099075e-13,0,0
7,0.01047745517033391,0.01372435207362053,0,26590.472869654765,26590.472869654765,1.5707963267948966,8425239.0641222131,0.013436056550961769,1.9541929674696611e-16,-7.6665175509787357e-14,-4.5254624722146431e-14,8.9025446894069593e-14,0,0
8,0.01036957761428813,0.012823568692665179,0,28381.295212502897,28381.295212502897,1.5707963267948966,6362714.0450420277,0.010146867652792256,1.5307409306040646e-16,-6.3015995157504954e-14,-2.6208299705173842e-14,6.8248740787848259e-14,0,0
9,0.0032658228954315599,0.022205525396990139,0,-51559.858336140722,51559.858336140722,-1.5707963267948966,23915870.55644631,0.03813956931266882,1.2601877303287397e-15,6.3945338107023372e-14,-2.1040215055882424e-13,2.1990468668357135e-13,0,0
10,0.010809679466796829,0.033477688870713597,0,38450.306641788229,38450.306641788229,1.5707963267948966,9365798.9126712419,0.014936003937438148,3.0405627778495774e-16,-3.2742893203864375e-14,1.972027416274744e-14,3.8222850082294908e-14,0,0
11,0.01200062857490969,0.033157624863255193,0,24265.210661810132,24265.210661810132,1.5707963267948966,12965494.090765936,0.020676577897536654,3.5045375149667919e-16,-1.9700339802758902e-14,3.9944129492946873e-14,4.4538038453590147e-14,0,0
12,0.012127673818110909,0.034300490246143608,0,22615.483494434851,22615.483494434851,1.5707963267948966,11918541.518307853,0.019006961894636062,2.9758056118052955e-16,1.2494540686108125e-14,4.3709520714011109e-14,4.5460265595411751e-14,0,0
13,0.0011530591708631831,0.033080779856189131,0,-72130.73672626022,72130.73672626022,-1.5707963267948966,14247139.659225453,0.02272046795276866,8.8795328809842166e-16,2.3315064709928812e-14,2.3066380994957213e-13,2.3183913703876765e-13,0,0
14,0.001280554348435672,0.032164434848288299,0,-80658.117449027428,80658.117449027428,-1.5707963267948966,15906295.766929351,0.025366388753391755,1.1089338048037834e-15,9.8776775907756945e-15,2.2293398078067097e-13,2.2315270175667576e-13,0,0
15,0.0022134691694364189,0.032547395221755808,0,-63564.696819460762,63564.696819460762,-1.5707963267948966,18970007.469364639,0.030252209010416423,1.0378763298294513e-15,-2.9496186568194409e-14,2.3198412837777516e-13,2.3385179246963617e-13,0,0
16,0.015476102681542399,0.0297175080087204,0,-28516.749093359016,28516.749093359016,-1.5707963267948966,8822854.070044551,0.014070148671603588,2.1821499950225839e-16,7.1541288751284922e-14,-9.6831261586506407e-15,7.2193621106016498e-14,0,0
17,0.0157641214199414,0.029006458727932869,0,-30433.975903348579,30433.975903348579,-1.5707963267948966,7215260.9653889313,0.011506457398192881,1.8550363455863641e-16,6.8430229372664791e-14,-1.8388775717128023e-14,7.0857909681067737e-14,0,0
18,0.016545136498421532,0.029153547421485421,0,-35420.823184150555,35420.823184150555,-1.5707963267948966,2907448.38926011,0.0046366210714961489,1.4438041866781806e-16,1.8090980805131917e-14,-8.7300813898914928e-15,2.0087257343046642e-14,0,0
19,0.01703479786078747,0.024290500177488811,0,-19964.056486467267,19964.056486467267,-1.5707963267948966,4052309.2530646273,0.006462375236094808,6.9523241546149479e-17,-4.405783365327164e-14,-1.2895093812730254e-14,4.5906166804237413e-14,0,0
20,0.01636866434985091,0.02384705264898734,0,-20246.123262079946,20246.123262079946,-1.5707963267948966,1503165.5612817367,0.0023971566068486149,4.630587411192601e-17,-3.8890032783373606e-15,-1.253269852119165e-14,1.3122228420584596e-14,0,0
21,0.01695473503919739,0.023277316969105309,0,-18368.598461068115,18368.598461068115,-1.5707963267948966,3802282.7909817328,0.0060636483087975019,5.9812621020758476e-17,-4.6607733595917582e-14,-1.4042345611566723e-15,4.6628882740751698e-14,0,0
22,0.01834669808468898,0.021040971423262361,0,-10689.019780368719,10689.019780368719,-1.5707963267948966,10657694.409797808,0.016996239952727272,2.0745434947516757e-16,-6.3189934566108793e-14,3.0521240793243643e-14,7.0174881332484416e-14,0,0
23,0.017388640138039969,0.02044214287898986,0,-20975.577985513562,20975.577985513562,-1.5707963267948966,7736127.5139900502,0.012337103549506337,1.4860238079253907e-16,-7.0722695946470873e-14,3.6823156391502618e-14,7.9734839114216732e-14,0,0
24,0.018465641979796971,0.01968326419548341,0,-15007.56131776919,15007.56131776919,-1.5707963267948966,11719942.472120533,0.018690248268443198,2.5987750071683224e-16,-4.1564227552902534e-14,2.876714363400088e-14,5.0548329002338936e-14,0,0
25,0.0089563182098043037,0.027893173980620072,0,32573.794367529721,32573.794367529721,1.5707963267948966,4723385.9795512995,0.0075325674025705754,1.4821614580385619e-16,8.2679095536918434e-14,-1.7238797449961079e-14,8.445714283779479e-14,0,0
26,0.0096357979354297039,0.028444840887804301,0,34872.177549995606,34872.177549995606,1.5707963267948966,2380947.644111733,0.003796989847729311,1.355943452442044e-16,7.4492976629961146e-16,-2.4257329961305587e-14,2.4268765465271877e-14,0,0
27,0.0087357727888406518,0.028648828489308671,0,33457.008789266416,33457.008789266416,1.5707963267948966,6190133.9000319773,0.0098716473806693562,1.8182044704873831e-16,1.0619153560377403e-13,-1.9139735220221428e-14,1.0790260283323934e-13,0,0
28,0.018213253285033541,0.040293480281072672,0,-2326.0306914217872,2326.0306914217872,-1.5707963267948966,6602120.2441139324,0.010528658033444922,7.5632217664083528e-17,-1.1778888759756535e-14,-5.8383318025847793e-15,1.3146419233076042e-14,0,0
29,0.01474655962570935,0.041013707338078749,0,-18937.02039693587,18937.02039693587,-1.5707963267948966,2828104.6677144975,0.0045100885515834115,5.0882047819256583e-17,-3.3759927703203157e-16,-3.916832390593358e-15,3.931354632674828e-15,0,0
30,0.016387477465261039,0.038151560772304541,0,-9930.2715739333598,9930.2715739333598,-1.5707963267948966,1719809.7976428203,0.0027426475999271257,1.5297713557913626e-17,-5.6939443170176463e-15,-2.3478152184854037e-15,6.1589965242277264e-15,0,0
31,0.015842481324409428,0.028341877040924109,0,-30407.027223646466,30407.027223646466,-1.5707963267948966,6473568.4928491022,0.010323651553916692,1.6784745559728021e-16,5.3800833772451832e-14,-1.9775747291373804e-14,5.7320239841990122e-14,0,0
32,0.016680832612872919,0.027765827800986149,0,-32746.220909826909,32746.220909826909,-1.5707963267948966,3151922.8115496389,0.0050264939449121207,1.2806656542906939e-16,1.0586046022656514e-15,-1.358215510752057e-14,1.362334691141223e-14,0,0
33,0.039305616274220329,0.089598298290847395,-0,-5917.1213982714244,5917.1213982714244,-1.5707963267948966,1127266.2517186571,0.0017976953521212132,5.8114414902341835e-18,3.6328094367815408e-16,-1.7143188467141958e-16,4.0169881145167093e-16,0,0
34,0.040459519341250499,0.083727175862511008,0,-6217.1965546389611,6217.1965546389611,-1.5707963267948966,1209749.4650598897,0.0019292345417540842,6.5202112015241458e-18,8.9229700730876599e-16,-1.9332992771202098e-16,9.1300077228955035e-16,0,0
35,0.044915715556061858,0.085672649180031299,-0,1955.0449845169676,1955.0449845169676,1.5707963267948966,1153223.0018077597,0.0018390895914326528,2.6860466806906255e-18,1.3944889620396891e-16,1.9269495754995758e-16,2.378599195276187e-16,0,0
36,0,0.024825392676249738,0,-125082.48230812239,125082.48230812239,-1.5707963267948966,10970823.14073013,0.017495598523388303,1.8262014640730637e-15,9.5605617876975907e-14,-1.5083582935194486e-13,1.785829823525393e-13,0,0
37,0.00086936545241126512,0.025196066341537499,0,-122199.0897831211,122199.0897831211,-1.5707963267948966,11828715.329298401,0.018863712575999173,1.7861117253510844e-15,5.702787185657893e-14,-1.0624045793046142e-13,1.2057865926342244e-13,0,0
38,0,0.025610606156294579,0,-131002.07110588877,131002.07110588877,-1.5707963267948966,8777791.3085681703,0.013998285332542092,1.9084657959600729e-15,9.3559459604326685e-14,-6.3124478862589248e-14,1.1286306886279104e-13,0,0
39,0.044236147368019119,0.079117268980398586,-0,2799.080804856324,2799.080804856324,1.5707963267948966,236939.08234917241,0.00037785597362252957,9.0738946807226599e-19,-8.1748609503597675e-18,4.7939536961510718e-16,4.7946506521326764e-16,0,0
40,0.039664872859942343,0.073768940701853913,-0,10955.040934526918,10955.040934526918,1.5707963267948966,670393.98085543793,0.0010691033654528701,1.3192193943637321e-17,3.7733552837466028e-16,-9.9905025524167708e-18,3.774677616897023e-16,0,0
41,0.045207247032887088,0.07257111007732811,-0,-4757.6213675110375,4757.6213675110375,-1.5707963267948966,1658102.3610322534,0.0026442403498058683,7.0772895021234223e-18,-4.1849735918773495e-16,-7.5030396310987414e-17,4.2517008363441077e-16,0,0
42,0.044710129966690257,0.055902668062828523,-0,761.2878682080825,761.2878682080825,1.5707963267948966,1548858.614357016,0.0024700250964467215,4.191746138442675e-18,-9.9227557469981459e-16,1.8181546473056804e-15,2.0713032461870694e-15,0,0
43,0.038067699567577079,0.057283914464454293,-0,4603.2116092074448,4603.2116092074448,1.5707963267948966,2411618.5380950347,0.0038459019157302122,1.2209390114976606e-17,1.9588709099307779e-15,6.1607535451296181e-16,2.0534663581883451e-15,0,0
44,0.038961840486844743,0.050540617228561083,-0,16687.063422966436,16687.063422966436,1.5707963267948966,1274796.3265065579,0.0020329673025942731,3.1611932268221456e-17,1.0876578033566176e-15,6.7508147234098889e-17,1.0897508188322335e-15,0,0
45,0.038006211511506641,0.079293632544741324,0,324.41697475057276,324.41697475057276,1.5707963267948966,1828272.5593424693,0.0029156173861585631,5.7678769135224472e-18,2.7870784088745609e-16,2.5421172026196629e-16,3.7722892159893538e-16,0,0
46,0.01251174668354578,0.095255588927477222,0,-8989.5004327120569,8989.5004327120569,-1.5707963267948966,4752180.5638364349,0.0075784872464909718,4.7257281908441606e-17,-5.7691363988664072e-15,-3.4104740261244763e-15,6.70181079049498e-15,0,0
47,0.0073679640565125007,0.095560082513624162,-0,-8387.6793609956185,8387.6793609956185,-1.5707963267948966,2613209.3176090904,0.004167386575463782,1.9041149485449186e-17,5.224985711338256e-14,-3.6036555279222775e-15,5.2373981150308009e-14,0,0
48,0.0100169782110238,0.08962327934137132,-0,-11473.864197287756,11473.864197287756,-1.5707963267948966,5919809.4326844988,0.0094405504346068807,7.3979377696286882e-17,1.9779335321055494e-14,2.1428023952041363e-15,1.9895067425059057e-14,0,0
49,0.01233284303510368,0.030886255407815429,0,15856.961754708307,15856.961754708307,1.5707963267948966,14550906.062697172,0.023204896055551941,3.9068211093270563e-16,-2.778114889742519e-14,-8.9730651271800437e-15,2.919431677291872e-14,0,0
50,0.01295404171751399,0.030633120177695941,0,6059.7033465275963,6059.7033465275963,1.5707963267948966,15108727.127338905,0.024094475011448888,3.969593369888361e-16,1.0262402475190014e-14,-2.6654992371132982e-15,1.0602914257214273e-14,0,0
51,0.013085664518068949,0.031577515498828708,0,5973.9874636350196,5973.9874636350196,1.5707963267948966,14795868.885874042,0.023595547800866017,3.8073877248143201e-16,3.4914387718111409e-14,1.4877273234758944e-14,3.7951913372480759e-14,0,0
52,0.02686904908128666,0.0042989974041478668,0,1969.3433963004054,1969.3433963004054,1.5707963267948966,683105.46507993352,0.0010893748639334625,1.2049925338710042e-18,4.9899671396394368e-15,1.1698712263131777e-15,5.1252678701543865e-15,0,0
53,0.025257196706462239,0.0098878977557541811,-0,-9467.2998100313307,9467.2998100313307,-1.5707963267948966,4406417.9009782299,0.0070270860748426773,4.2715709809621452e-17,1.3634321439283267e-14,-3.0252816478404359e-15,1.3965924608075883e-14,0,0
54,0.022694046531072369,0.0057922187776026993,0,-9045.191819409154,9045.191819409154,-1.5707963267948966,5316423.0250738813,0.008478306653387533,5.7145927038820385e-17,1.5991128651698219e-14,-4.4030352434610333e-15,1.658622666281646e-14,0,0
55,0.0066763286467494999,0.022066311126917398,0,21235.944546043986,21235.944546043986,1.5707963267948966,16556084.302507522,0.026402631813529125,5.1875701638879812e-16,2.6210656181285582e-13,-6.3019840490278311e-14,2.6957624161037734e-13,0,0
56,0.0072725601395233729,0.02270008349132261,0,26210.979331162431,26210.979331162431,1.5707963267948966,13349890.01444816,0.021289589033392377,3.7803853617473601e-16,2.2736306979106694e-13,-2.9569564194788094e-14,2.2927783283930276e-13,0,0
57,0.0064468134678427602,0.022805516483739359,0,12762.434114569895,12762.434114569895,1.5707963267948966,18971126.293861736,0.030253993243373991,6.3672221921890199e-16,3.0487422273907911e-13,-7.4492638576827361e-14,3.1384302587901398e-13,0,0
58,0.010273492632630801,0.02898332275235551,0,34136.879852493294,34136.879852493294,1.5707963267948966,5673443.8341325168,0.0090476616288218958,1.7601812441465487e-16,-5.8338186715054882e-14,-3.0520547243934726e-14,6.5839561308303512e-14,0,0
59,0.009875089744942632,0.029732414997400071,0,37750.965580388402,37750.965580388402,1.5707963267948966,4282408.8600403769,0.0068293240322239946,1.7904913034989593e-16,-3.2761623417038224e-14,-3.0708794395606037e-14,4.4903830818221199e-14,0,0
60,0.0093106313793616564,0.02917699155047148,0,36909.085920288773,36909.085920288773,1.5707963267948966,3114600.5694891745,0.0049669747133370178,1.5766745680392624e-16,2.2726760648853617e-14,-2.5356423302091443e-14,3.4050754063091278e-14,0,0
61,0.0082719342961728309,0.03431045832438985,0,45115.029725093606,45115.029725093606,1.5707963267948966,4388128.0006999392,0.0069979184592319776,2.4377045709321118e-16,3.3202033097946769e-14,1.3716481161711902e-14,3.5923764520116067e-14,0,0
62,0.0084855667878187269,0.033191499283280732,0,46333.665930911375,46333.665930911375,1.5707963267948966,3509939.5977945197,0.0055974372439176042,2.4335581978813344e-16,4.2371308367973154e-14,3.6333069276719614e-15,4.2526799692012343e-14,0,0
63,0.0094651045539833299,0.033813147233338031,0,46915.399418188077,46915.399418188077,1.5707963267948966,3346839.6367513845,0.0053373353900287215,2.470427065631995e-16,-2.0900613544559198e-14,2.3352674880251114e-15,2.103067095410031e-14,0,0
64,0.01733401095430865,0.021451143440568171,0,-17969.073975490592,17969.073975490592,-1.5707963267948966,6601182.2956454474,0.010527162250527841,1.0846130942954254e-16,-6.7293193816221185e-14,3.2623764686034327e-14,7.4784249386333013e-14,0,0
65,0.012119169623705321,0.031557457595603702,0,20268.935454657334,20268.935454657334,1.5707963267948966,14299625.870354887,0.022804169755828926,3.9468830235785202e-16,-2.5218911306133812e-14,-1.8430878081168326e-15,2.5286171322188591e-14,0,0
66,0.01654032338233544,0.02092634899879681,0,-22797.589457225498,22797.589457225498,-1.5707963267948966,4079192.6766366181,0.0065052472776651032,8.2437248652975475e-17,-3.4423063658726975e-14,3.2928582533681645e-14,4.7636528623843422e-14,0,0
67,0.0024407386816064601,0.015732931436232309,0,-43925.273286482829,43925.273286482829,-1.5707963267948966,16777064.305105127,0.026755037221724204,6.8442515426042313e-16,-5.8258095704528461e-14,1.3413054207931896e-13,1.4623613791949632e-13,0,0
68,0.0024589796760395612,0.01481408000945998,0,-51097.099292677565,51097.099292677565,-1.5707963267948966,17932510.358427599,0.028597671999903491,8.240141953820256e-16,-3.8565121482599247e-14,1.5221348985371258e-13,1.5702297630733505e-13,0,0
69,0.003183376311998859,0.015421754166096211,0,-33765.555255284387,33765.555255284387,-1.5707963267948966,19259015.924856286,0.030713102039342775,7.5679570304090316e-16,-1.3818081487959488e-14,1.2917043622518169e-13,1.2990743231475101e-13,0,0
70,0.01576498572246075,0.027437938841692031,0,-27982.805576209503,27982.805576209503,-1.5707963267948966,6440310.2980600782,0.010270613416652297,1.5246109507823434e-16,4.8659729955784481e-14,-2.4406687299663744e-14,5.4437631325338149e-14,0,0
71,0.017894733799290529,0.028517150997630889,0,-34497.404307958757,34497.404307958757,-1.5707963267948966,4414055.3326402837,0.00703926578427697,1.5669803656724832e-16,-2.4202997335833553e-14,2.4245786191865431e-15,2.4324137426001001e-14,0,0
72,0.044852898409685413,0.049791872282032093,-0,-5182.0774276396733,5182.0774276396733,-1.5707963267948966,1983336.5427496324,0.0031629039538416258,9.5536162429256109e-18,-1.1473197612938209e-15,-1.12705701510794e-15,1.6082910650623318e-15,0,0
73,0.0042509984467604123,0.03220905654737484,0,-24744.242874819083,24744.242874819083,-1.5707963267948966,23929752.010031879,0.038161706606811549,1.0496105827535399e-15,1.231389038889285e-13,1.952074412524671e-13,2.3080107185908424e-13,0,0
74,0.0049360660115119262,0.031598117603795703,0,-13744.637041209271,13744.637041209271,-1.5707963267948966,24437875.35336655,0.038972030672864588,1.0481327858230379e-15,2.1355581233567601e-13,1.634918843510656e-13,2.6895293497378436e-13,0,0
75,0.0052212087698437796,0.032289892511869339,0,-2265.377409436805,2265.377409436805,-1.5707963267948966,22726984.205036085,0.036243605990009246,8.9013550808657678e-16,2.0596521255076656e-13,1.5999806734852758e-13,2.6080845526237532e-13,0,0
76,0.01720514369919884,0.01947733603843874,0,-26487.691318577567,26487.691318577567,-1.5707963267948966,7768616.1731749848,0.012388914478401227,1.7654095407412131e-16,-6.1869855790352042e-14,3.2209366461101313e-14,6.9751862651433723e-14,0,0
